Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
the-scout-skincare-kit,The Scout Skincare Kit,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p><meta charset=""utf-8"">
<p><span>A collection of the best Ursa Major has to offer! ""The Scout"" kit contains travel sizes of their best selling skin care items including: </span></p>
<ul>
<li><span style=""line-height: 1.4;"">Face Wash (2 fl oz)</span></li>
<li><span style=""line-height: 1.4;"">Shave Cream (2 fl oz)</span></li>
<li><span style=""line-height: 1.4;"">Face Balm (0.5 fl oz)</span></li>
<li><span style=""line-height: 1.4;"">5 tonic-infused bamboo Face Wipes</span></li>
</ul>
<p><span>All wrapped together in a great, reusable tin.</span><span class=""aam""> </span></p>",Ursa Major,Accessories,"",true,Title,Default Title,,,,,,0,,1,deny,manual,36.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/skin-care_c18143d5-6378-46aa-b0d7-526aee3bc776.jpg?v=1426708827,,false,,,,,,,,,,,,,,,,,kg
ayers-chambray,Ayres Chambray,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>Comfortable and practical, our chambray button down is perfect for travel or days spent on the go. The Ayres Chambray has a rich, washed out indigo color suitable to throw on for any event. Made with sustainable soft chambray featuring two chest pockets with sturdy and scratch resistant corozo buttons.</p>
<ul class=""tabs-content"">
<li><span style=""line-height: 1.4;"">100% Organic Cotton Chambray, 4.9 oz Fabric.</span></li>
<li><span style=""line-height: 1.4;"">Natural Corozo Buttons.</span></li>
</ul>",United By Blue,Mens,Shirts,true,Size,S,,,,,43MCHBL2,0,shopify,1,deny,manual,98.00,,true,false,,https://cdn.shopify.com/s/files/1/0803/6591/products/chambray_5f232530-4331-492a-872c-81c225d6bafd.jpg?v=1426630717,,false,,,,,,,,,,,,,,,,,kg
ayers-chambray,,,,,,,,M,,,,,43MCHBL3,0,shopify,0,deny,manual,98.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
ayers-chambray,,,,,,,,L,,,,,43MCHBL4,0,shopify,25,deny,manual,98.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
ayers-chambray,,,,,,,,XL,,,,,43MCHBL5,0,shopify,35,deny,manual,102.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
lodge-womens-shirt,Lodge,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://unitedbyblue.com/"" target=""_blank"">United By Blue</a>.</em></p>
<p>The lodge, after a day of white slopes, is a place of revelry, blazing fires and high spirits.</p>
<ul>
<li><span style=""line-height: 1.4;"">100% organic cotton, stone washed slub knit 6 oz jersey fabric</span></li>
</ul>",United By Blue,Womens,Shirts,true,Color,White,Size,XS,,,33WSLWHV1,0,shopify,1,deny,manual,36.00,,true,true,,https://cdn.shopify.com/s/files/1/0803/6591/products/lodge_women_white2_df6cafb7-1756-4991-8f1c-e074ecf4a5f2.jpeg?v=1426786254,,false,,"The lodge, after a day of white slopes, is a place of revelry, blazing fires and high spirits.  100% organic cotton, stonewashed graphic tee.",,,,,,,,,,,,,,,kg
lodge-womens-shirt,,,,,,,,White,,S,,,33WSLWHV2,0,shopify,1,deny,manual,36.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
lodge-womens-shirt,,,,,,,,White,,M,,,33WSLWHV3,0,shopify,1,deny,manual,36.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
lodge-womens-shirt,,,,,,,,White,,L,,,33WSLWHV4,0,shopify,1,deny,manual,36.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
lodge-womens-shirt,,,,,,,,White,,XL,,,33WSLWHV5,0,shopify,1,deny,manual,36.00,,true,false,,,,,,,,,,,,,,,,,,,,,kg
